flip_angle_deg,refocusing_angle_deg,tr_ms,te_ms,bandwidth_khz,sequence_factor,max_relative_sar,mean_relative_sar,artifact_risk_proxy,snr_preservation_proxy,sar_rank_proxy,artifact_control_proxy,optimization_score
90.0,120.0,4200.0,8.0,200.0,0.45,0.00018749709124676883,7.867657404858619e-05,0.6666666666666666,1.25,0.8809523778068251,0.6000000000000001,0.8464285700130713
90.0,130.0,5000.0,10.0,320.0,0.55,0.00022591663582716137,9.479798609390855e-05,0.5208333333333334,0.9882117688026186,0.8565586393452744,0.6575342465753424,0.8462984799899946
90.0,130.0,4200.0,8.0,320.0,0.55,0.00026894838083535433,0.00011285473738098517,0.41666666666666663,0.9882117688026186,0.8292364874690051,0.7058823529411765,0.846090538237132
70.0,130.0,5000.0,10.0,200.0,0.45,0.00011181731679243967,4.6920209570089355e-05,0.8333333333333334,0.9722222222222222,0.9290037797187871,0.5454545454545454,0.8460820039037572
90.0,110.0,3500.0,8.0,200.0,0.45,0.00018905955948866904,7.933221786515787e-05,0.6666666666666666,1.1832159566199232,0.879960305664483,0.6000000000000001,0.8459821375490174
70.0,120.0,4200.0,10.0,200.0,0.45,0.0001134241683757864,4.7594468924216926e-05,0.8333333333333334,0.9722222222222222,0.9279835399101647,0.5454545454545454,0.8456228959898772
90.0,120.0,4200.0,10.0,320.0,0.55,0.0002291631099069491,9.616026363801211e-05,0.5208333333333334,0.9882117688026186,0.8544973408666124,0.6575342465753424,0.8453708956745968
90.0,120.0,5000.0,12.0,320.0,0.55,0.00019249701290391386,8.077461825450882e-05,0.625,0.9882117688026186,0.8777777711721105,0.6153846153846154,0.8453096815143891
90.0,110.0,4200.0,12.0,320.0,0.55,0.00019256067753303796,8.08013355708681e-05,0.625,0.9882117688026186,0.8777373444882797,0.6153846153846154,0.8452914895066653
70.0,130.0,4200.0,8.0,200.0,0.55,0.00016269716434180737,6.827015749877319e-05,0.6666666666666666,0.9722222222222222,0.8966986041872709,0.6000000000000001,0.8451810385509385
80.0,110.0,5000.0,12.0,200.0,0.45,0.00010456627933308482,4.3877567804884166e-05,1.0,1.1111111111111112,0.9336076821092195,0.5,0.8451234569491488
90.0,120.0,5000.0,8.0,200.0,0.55,0.00019249701290391386,8.077461825450882e-05,0.6666666666666666,1.25,0.8777777711721105,0.6000000000000001,0.8449999970274498
90.0,110.0,4200.0,8.0,200.0,0.55,0.00019256067753303796,8.08013355708681e-05,0.6666666666666666,1.25,0.8777373444882797,0.6000000000000001,0.8449818050197259
70.0,120.0,5000.0,10.0,200.0,0.55,0.0001164488130598329,4.8863657866604626e-05,0.8333333333333334,0.9722222222222222,0.9260630962770724,0.5454545454545454,0.8447586963549856
70.0,110.0,4200.0,10.0,200.0,0.55,0.00011648731742752716,4.887981413048692e-05,0.8333333333333334,0.9722222222222222,0.9260386498033669,0.5454545454545454,0.8447476954418182
80.0,120.0,5000.0,8.0,200.0,0.7,0.0001935772452270612,8.122789586195722e-05,0.6666666666666666,1.1111111111111112,0.8770919047371177,0.6000000000000001,0.8446913571317031
80.0,110.0,4200.0,8.0,200.0,0.7,0.0001936412591021508,8.125475869746879e-05,0.6666666666666666,1.1111111111111112,0.8770512578643772,0.6000000000000001,0.8446730660389697
80.0,130.0,5000.0,10.0,200.0,0.45,0.00014604712487198412,6.128355016699061e-05,0.8333333333333334,1.1111111111111112,0.9072702260468155,0.5454545454545454,0.8446352380847033
80.0,150.0,5000.0,8.0,200.0,0.45,0.000194441425264813,8.159052231349051e-05,0.6666666666666666,1.1111111111111112,0.8765432049834563,0.6000000000000001,0.8444444422425553
80.0,120.0,4200.0,10.0,200.0,0.45,0.00014814584574196488,6.216420297278091e-05,0.8333333333333334,1.1111111111111112,0.9059376868027663,0.5454545454545454,0.8440355954248812
70.0,110.0,5000.0,12.0,200.0,0.45,8.005855488590896e-05,3.359376569278538e-05,1.0,0.9722222222222222,0.9491683773143066,0.5,0.8437924364581046
80.0,110.0,3500.0,10.0,200.0,0.45,0.00014938040112610906,6.268224387895316e-05,0.8333333333333334,1.0517475169954873,0.9051538252934876,0.5454545454545454,0.8436828577457057
80.0,110.0,5000.0,8.0,320.0,0.7,0.0001626586599741131,6.825399759691209e-05,0.41666666666666663,0.8784104611578832,0.896723056165699,0.7058823529411765,0.8435191018572237
70.0,110.0,3500.0,8.0,200.0,0.45,0.00011436936620157212,4.7991092287702486e-05,0.6666666666666666,0.9202790773710514,0.927383398522462,0.6000000000000001,0.8434062525464233
80.0,120.0,5000.0,10.0,200.0,0.55,0.00015209641424007714,6.382192805176601e-05,0.8333333333333334,1.1111111111111112,0.9034293387806308,0.5454545454545454,0.8429068388149202
80.0,110.0,4200.0,10.0,200.0,0.55,0.00015214670565910637,6.384302832884714e-05,0.8333333333333334,1.1111111111111112,0.9033974113887164,0.5454545454545454,0.8428924714885587
90.0,120.0,3500.0,8.0,320.0,0.45,0.00022499651822727174,9.441190195502713e-05,0.41666666666666663,0.9354143466934853,0.8571428335511883,0.7058823529411765,0.8428091673413745
70.0,110.0,5000.0,10.0,200.0,0.7,0.0001245355379069224,5.225696804700419e-05,0.8333333333333334,0.9722222222222222,0.9209285881566375,0.5454545454545454,0.8424481677007899
80.0,120.0,5000.0,10.0,320.0,0.45,0.00012444252206478268,5.22179325344041e-05,0.5208333333333334,0.8784104611578832,0.920987653831679,0.6575342465753424,0.8423511442154561
80.0,110.0,4200.0,10.0,320.0,0.45,0.00012448366032913327,5.223520201980136e-05,0.5208333333333334,0.8784104611578832,0.9209615229128139,0.6575342465753424,0.8423393853019668
70.0,130.0,5000.0,8.0,200.0,0.7,0.00017393805319443345,7.29870080249384e-05,0.6666666666666666,0.9722222222222222,0.8895614118759505,0.6000000000000001,0.8419693020108444
90.0,120.0,5000.0,15.0,320.0,0.45,0.0001574975613038987,6.608832336496562e-05,0.78125,0.9882117688026186,0.8999999955962218,0.5614035087719298,0.8418144058520678
90.0,110.0,4200.0,15.0,320.0,0.45,0.00015754964260850102,6.611018034163862e-05,0.78125,0.9882117688026186,0.8999669232219768,0.5614035087719298,0.8417995232836576
90.0,110.0,5000.0,12.0,320.0,0.7,0.00020586485334206372,8.638395229354501e-05,0.625,0.9882117688026186,0.869290138258378,0.6153846153846154,0.8414902467032096
80.0,110.0,5000.0,10.0,320.0,0.55,0.0001278032286791131,5.3628140449291095e-05,0.5208333333333334,0.8784104611578832,0.9188538306308668,0.6575342465753424,0.8413909237750906
90.0,120.0,5000.0,10.0,200.0,0.45,0.0001574975613038987,6.608832336496562e-05,0.8333333333333334,1.25,0.8999999955962218,0.5454545454545454,0.8413636343819362
90.0,110.0,4200.0,10.0,200.0,0.45,0.00015754964260850102,6.611018034163862e-05,0.8333333333333334,1.25,0.8999669232219768,0.5454545454545454,0.841348751813526
70.0,120.0,4200.0,8.0,200.0,0.7,0.00017643759201746434,7.403583731502295e-05,0.6666666666666666,0.9722222222222222,0.8879744003088986,0.6000000000000001,0.841255146805671
90.0,110.0,5000.0,8.0,200.0,0.7,0.00020586485334206372,8.638395229354501e-05,0.6666666666666666,1.25,0.869290138258378,0.6000000000000001,0.8411805622162701
90.0,110.0,3500.0,8.0,320.0,0.55,0.00023107280139811337,9.696158667793497e-05,0.41666666666666663,0.9354143466934853,0.8532848376067157,0.7058823529411765,0.8410730691663618
